AGE_DIFFERENCE	Q23	PP2_RESPONDENT_YRSED	PARTNER_YRSED	RESPONDENT_RELIGION_AT_16	PARTNER_RELIGION_AT_16	PP2_PPINCIMP	success
2	1	16	17	10	10	18	1
13	3	13	17	3	2	17	1
2	3	13	13	2	12	6	-1
4	1	12	13	5	3	13	1
2	1	13	16	11	11	13	1
0	3	12	12	13	11	13	1
1	1	12	16	2	13	12	1
2	1	17	12	3	11	18	1
0	3	16	16	4	4	14	1
8	1	17	14	2	2	16	1
2	1	17	17	13	13	17	1
1	3	17	17	2	13	7	1
5	1	12	13	3	2	15	1
5	1	16	16	2	3	17	1
6	1	7.5	7.5	2	2	11	1
14	1	16	13	2	13	10	-1
1	3	16	16	13	3	6	1
11	1	16	13	3	2	14	1
4	2	12	12	11	3	13	1
1	3	16	17	2	2	19	1
1	3	13	13	2	13	14	1
7	2	12	14	13	13	11	1
0	3	12	12	11	3	15	1
3	2	14	13	3	3	14	1
3	3	20	13	1	1	19	1
1	1	14	13	13	13	12	1
3	1	17	17	5	5	19	1
2	3	17	20	1	1	9	1
2	1	16	12	3	2	11	1
0	2	20	16	13	13	14	1
7	3	16	13	11	2	4	1
6	3	12	16	1	1	14	-1
2	3	12	13	5	5	12	1
4	1	13	13	2	3	16	1
3	3	13	13	3	2	16	1
9	1	12	12	11	13	12	1
1	1	17	17	5	5	16	-1
7	3	13	13	13	3	7	1
6	1	13	11	3	3	3	1
6	3	13	13	4	3	9	1
2	3	16	16	13	13	12	1
6	3	12	13	13	2	7	1
11	3	13	17	2	3	9	-1
2	1	16	16	11	11	16	1
26	1	20	12	2	13	14	1
6	1	16	16	3	5	16	-1
7	3	12	13	9	3	13	1
7	3	16	14	5	3	15	1
3	2	17	16	2	2	14	1
1	3	16	13	13	1	9	1
10	1	16	13	1	3	13	-1
5	3	16	17	3	2	12	1
12	1	16	16	13	1	19	1
5	1	16	17	4	3	15	1
2	3	17	17	2	11	7	-1
4	1	16	12	11	11	14	-1
3	3	12	13	1	1	7	1
2	1	11	11	11	2	9	1
1	3	16	16	1	2	13	1
12	1	12	12	1	1	15	1
5	1	16	16	13	13	5	-1
2	3	7.5	12	13	9	7	1
6	3	11	13	3	3	12	-1
2	1	12	11	2	1	11	1
0	3	14	10	1	3	12	1
4	3	16	16	2	3	13	1
3	1	12	9	1	4	14	-1
1	1	17	14	1	1	11	-1
6	3	16	7.5	8	3	15	1
1	1	12	13	2	1	15	1
1	3	13	13	3	3	12	1
5	3	13	13	11	2	9	1
1	3	11	12	2	2	12	-1
7	3	14	12	2	3	12	1
3	1	13	13	2	3	15	-1
3	3	12	12	11	11	16	1
9	1	14	13	2	11	9	1
